question,dataset,full_question,question_id,split,option1,option2,option3,option4,true_option
"Life span developmental theories, such as Baltes’s Selective Optimization with Compensation theory,",professional_psychology,"Life span developmental theories, such as Baltes’s Selective Optimization with Compensation theory, Options: 1. Focus mainly on the development of psychopathology over time, 2. Describe development as a process of growth (gain) and decline (loss), 3. Do not account for environmental influences on development, 4. All of the above.",67,train,Focus mainly on the development of psychopathology over time,Describe development as a process of growth (gain) and decline (loss),Do not account for environmental influences on development,All of the above,2
Berkowitz (1971) revised the original frustration-aggression hypothesis by proposing that frustration leads to aggression when:,professional_psychology,"Berkowitz (1971) revised the original frustration-aggression hypothesis by proposing that frustration leads to aggression when: Options: 1. acting aggressively is likely to produce desirable outcomes, 2. there are aggressive cues in the environment, 3. the aggressor has an internal locus of control, 4. the target of the aggression is of lower-status than the aggressor.",14,train,acting aggressively is likely to produce desirable outcomes,there are aggressive cues in the environment,the aggressor has an internal locus of control,the target of the aggression is of lower-status than the aggressor,2
A psychologist places an ad in a local newspaper claiming a guaranteed cure for anxiety.,professional_psychology,"A psychologist places an ad in a local newspaper claiming a guaranteed cure for anxiety. Options: 1. The ad is not ethical because psychologists are not allowed to advertise, 2. The ad is ethical because the psychologist is an excellent psychologist, 3. The ad is unethical because it makes misleading claims of effectiveness, 4. The ad is ethical because even psychologists are protected by the First Amendment protecting one’s freedom of speech.",1,train,The ad is not ethical because psychologists are not allowed to advertise,The ad is ethical because the psychologist is an excellent psychologist,The ad is unethical because it makes misleading claims of effectiveness,The ad is ethical because even psychologists are protected by the First Amendment protecting one’s freedom of speech,3
Psychologists call the pathway that connects the past with the present and the future a(n) ___________.,professional_psychology,"Psychologists call the pathway that connects the past with the present and the future a(n) ___________. Options: 1. Organizational process, 2. Developmental trajectory, 3. Developmental approach, 4. Theoretical model.",31,test,Organizational process,Developmental trajectory,Developmental approach,Theoretical model,2
The classic aging pattern is defined as 2 decline on which subtest(s) of the Wechsler Adult Intelligence Scale-Revised,professional_psychology,"The classic aging pattern is defined as 2 decline on which subtest(s) of the Wechsler Adult Intelligence Scale-Revised Options: 1. All Verbal subtests, 2. All Performance subtests, 3. Vocabulary subtest only, 4. Block Design subtest only.",44,train,All Verbal subtests,All Performance subtests,Vocabulary subtest only,Block Design subtest only,2
Which concept and stage are appropriately matched according to Piaget’s theory of cognitive development?,professional_psychology,"Which concept and stage are appropriately matched according to Piaget’s theory of cognitive development? Options: 1. Centration—concrete operational stage, 2. Egocentrism—sensorimotor stage, 3. Hypothetical-deductive reasoning—formal operational stage, 4. Object permanence—preoperational stage.",59,train,Centration—concrete operational stage,Egocentrism—sensorimotor stage,Hypothetical-deductive reasoning—formal operational stage,Object permanence—preoperational stage,3
"A ten-year-old boy, tested with a paper-and-pencil intelligence test, obtained an IQ score of 130. Two years later, he was tested with an alternate form of the same test. Most likely, the obtained score on the second testing would be",professional_psychology,"A ten-year-old boy, tested with a paper-and-pencil intelligence test, obtained an IQ score of 130. Two years later, he was tested with an alternate form of the same test. Most likely, the obtained score on the second testing would be Options: 1. more than 130, 2. less than 130, 3. 130, 4. 130, but with a different pare of subtest scores.",87,train,more than 130,less than 130,130,"130, but with a different pare of subtest scores",2
Job satisfaction is an accurate predictor of:,professional_psychology,"Job satisfaction is an accurate predictor of: Options: 1. both job performance and health, 2. job performance but not health, 3. health but not job performance, 4. neither job performance nor health.",28,train,both job performance and health,job performance but not health,health but not job performance,neither job performance nor health,3
Which of the following is not represented in DSM-5 diagnostic criteria for problem gambling?,professional_psychology,"Which of the following is not represented in DSM-5 diagnostic criteria for problem gambling? Options: 1. Tolerance, 2. Withdrawal, 3. Legal problems, 4. Lying.",58,train,Tolerance,Withdrawal,Legal problems,Lying,3
A psychologist who is teaching a graduate course in counseling techniques at a state university has not updated the lecture notes or textbook selection for 7 years. This behavior is ethically questionable with respect to,professional_psychology,"A psychologist who is teaching a graduate course in counseling techniques at a state university has not updated the lecture notes or textbook selection for 7 years. This behavior is ethically questionable with respect to Options: 1. academic freedom, 2. legal standards, 3. humanitarian mission, 4. competence.",38,train,academic freedom,legal standards,humanitarian mission,competence,4
"An evaluation of a particular treatment fails to show an overall effect. However, the experimenter does find thar the most severely disturbed do show considerable improvement, and therefore concludes that the treatment is effective with extreme cases. This conclusion",professional_psychology,"An evaluation of a particular treatment fails to show an overall effect. However, the experimenter does find thar the most severely disturbed do show considerable improvement, and therefore concludes that the treatment is effective with extreme cases. This conclusion Options: 1. is valid if t test comparing severely disturbed patients with less severely disturbed patients is significant, 2. fails to take into account regression toward the mean, 3. fails to take into account historical and maturational variables, 4. fails to take into account the fact thar the “placebo effect” is most pronounced in severely disturbed patients.",84,test,is valid if t test comparing severely disturbed patients with less severely disturbed patients is significant,fails to take into account regression toward the mean,fails to take into account historical and maturational variables,fails to take into account the fact thar the “placebo effect” is most pronounced in severely disturbed patients,2
"In most situations, the “holder of the privilege” is:",professional_psychology,"In most situations, the “holder of the privilege” is: Options: 1. the therapist, 2. the client, 3. the therapist and client jointly, 4. the court.",4,test,the therapist,the client,the therapist and client jointly,the court,2
Which of the following best describes the best ethical position on bartering with clients?,professional_psychology,"Which of the following best describes the best ethical position on bartering with clients? Options: 1. Bartering is ethical because both parties benefit, 2. Psychologists should never barter for services, 3. Bartering is ethical and acceptable if it is not clinically contraindicated and not exploitative, 4. Bartering is ethical only if the client is not otherwise able to pay for services.",86,train,Bartering is ethical because both parties benefit,Psychologists should never barter for services,Bartering is ethical and acceptable if it is not clinically contraindicated and not exploitative,Bartering is ethical only if the client is not otherwise able to pay for services,3
Information disclosed by a child client to a psychologist may be kept confidential except when the client reports,professional_psychology,"Information disclosed by a child client to a psychologist may be kept confidential except when the client reports Options: 1. sexual abuse, 2. frequent homosexual activities, 3. strong feelings of attraction to the therapist, 4. extreme feelings of depression.",3,train,sexual abuse,frequent homosexual activities,strong feelings of attraction to the therapist,extreme feelings of depression,1
The American health care system is primarily dominated by which network?,professional_psychology,"The American health care system is primarily dominated by which network? Options: 1. The public sector, 2. The private sector, 3. The VA system, 4. None, all are equally important.",47,train,The public sector,The private sector,The VA system,"None, all are equally important",2
The research indicates that which of the following therapist factors has the greatest impact on therapy progress?,professional_psychology,"The research indicates that which of the following therapist factors has the greatest impact on therapy progress? Options: 1. amount of personal therapy, 2. self-esteem, 3. emotional detachment, 4. empathy.",49,train,amount of personal therapy,self-esteem,emotional detachment,empathy,4
"When one uses a time-series design to evaluate a program, fluctuation in the outcome slope can be accounted for by various alternative hypotheses. According to Campbell and Stanley, the most probable alternative is that",professional_psychology,"When one uses a time-series design to evaluate a program, fluctuation in the outcome slope can be accounted for by various alternative hypotheses. According to Campbell and Stanley, the most probable alternative is that Options: 1. a simultaneous event produced the fluctuation, 2. participants dropped out of the group, reducing the size of the sample, 3. aging effects were unduly influential, 4. test—retest reliability is inadequate.",24,train,a simultaneous event produced the fluctuation,"participants dropped out of the group, reducing the size of the sample",aging effects were unduly influential,test—retest reliability is inadequate,1
Tonotopic processing of auditory stimuli occurs at which site:,professional_psychology,"Tonotopic processing of auditory stimuli occurs at which site: Options: 1. Striate cortex, 2. Heschel’s convolutions, 3. Calcarine sulcus, 4. Pre-central gyrus.",48,train,Striate cortex,Heschel’s convolutions,Calcarine sulcus,Pre-central gyrus,2
Studies into the etiology of Schizophrenia indicated a genetic predisposition to the condition but other factors are involved. From your knowledge of the subject identify which of the following statements is incorrect.,professional_psychology,"Studies into the etiology of Schizophrenia indicated a genetic predisposition to the condition but other factors are involved. From your knowledge of the subject identify which of the following statements is incorrect. Options: 1. Excess dopamine or sensitivity to dopamine could be a contributory factor, 2. White patients are more symptomatic, 3. Remission from the condition in the Third World is 65%, 4. A lower rate of Schizophrenia diagnosed among Africa Americans.",91,train,Excess dopamine or sensitivity to dopamine could be a contributory factor,White patients are more symptomatic,Remission from the condition in the Third World is 65%,A lower rate of Schizophrenia diagnosed among Africa Americans,4
"An employee of large manufacturing firm finds the work dull, and pursues the job only for the money. The employee performs minimally, and is not motivated so produce highest quantity or better quality. According to F. Herzberg's two-factor theory, the best way 10 increase this worker's self-motivation would be to",professional_psychology,"An employee of large manufacturing firm finds the work dull, and pursues the job only for the money. The employee performs minimally, and is not motivated so produce highest quantity or better quality. According to F. Herzberg's two-factor theory, the best way 10 increase this worker's self-motivation would be to Options: 1. offer a raise and incentive pay for greater productivity, 2. redesign the job to provide a challenge and a sense of accomplishment, 3. increase opportunities for informed social interaction, 4. provide the employee with a job tide carrying greater prestige.",99,train,offer a raise and incentive pay for greater productivity,redesign the job to provide a challenge and a sense of accomplishment,increase opportunities for informed social interaction,provide the employee with a job tide carrying greater prestige,2
Object relations therapy is similar to Freudian psychodynamic therapy in its primary focus on,professional_psychology,"Object relations therapy is similar to Freudian psychodynamic therapy in its primary focus on Options: 1. issues of attachment and separation, 2. the neutral role of the therapist, 3. early childhood experiences, 4. the ego, id, and superego.",10,train,issues of attachment and separation,the neutral role of the therapist,early childhood experiences,"the ego, id, and superego",3
"The idea that individuals may have different possible developmental trajectories, given the timing of an environmental experience or lack thereof, is the concept of ___________.",professional_psychology,"The idea that individuals may have different possible developmental trajectories, given the timing of an environmental experience or lack thereof, is the concept of ___________. Options: 1. Nature with nurture, 2. Sensitive or critical periods, 3. Discontinuity, 4. Risk and resilience.",79,test,Nature with nurture,Sensitive or critical periods,Discontinuity,Risk and resilience,2
"CONTINGENCY CONTRACTING refers to establishing a formal, written contract that specifies target behaviors and the reinforcers and contractors. Which element out of the following ones is not one of an effective contract?",professional_psychology,"CONTINGENCY CONTRACTING refers to establishing a formal, written contract that specifies target behaviors and the reinforcers and contractors. Which element out of the following ones is not one of an effective contract? Options: 1. informative about treatment strategies and expected outcomes, 2. behaviors are capable of being monitored, 3. elicits participation form client, 4. only minimum participation from client is required.",56,train,informative about treatment strategies and expected outcomes,behaviors are capable of being monitored,elicits participation form client,only minimum participation from client is required,4
"""Samuel S., age 43, says, """"Even though I've just been given a bonus at work, I feel like I’m about to be fired.” As defined by Aaron Beck, Samuel is exhibiting which of the following cognitive distortions?""",professional_psychology,"""Samuel S., age 43, says, """"Even though I've just been given a bonus at work, I feel like I’m about to be fired.” As defined by Aaron Beck, Samuel is exhibiting which of the following cognitive distortions?"" Options: 1. mustabatory thinking, 2. polarized thinking, 3. personalization, 4. arbitrary inference.",39,train,mustabatory thinking,polarized thinking,personalization,arbitrary inference,4
Ethical behavior in the practice of individual psychologists is regulated by,professional_psychology,"Ethical behavior in the practice of individual psychologists is regulated by Options: 1. the discretion of individual therapists, 2. national laws, 3. professional codes and state and provincial laws, 4. accrediting agencies.",95,val,the discretion of individual therapists,national laws,professional codes and state and provincial laws,accrediting agencies,3
Which of the following possible outcomes of an experiment is least informative,professional_psychology,"Which of the following possible outcomes of an experiment is least informative Options: 1. Statistical nonsignificance under low power, 2. Statistical significance under low power, 3. Statistical nonsignificance under high power, 4. Statistical significance under high power.",23,train,Statistical nonsignificance under low power,Statistical significance under low power,Statistical nonsignificance under high power,Statistical significance under high power,1
"In an approach-approach conflict, a discernible move in a given direction should",professional_psychology,"In an approach-approach conflict, a discernible move in a given direction should Options: 1. resolve the conflict in thar direction, 2. result in prolonged oscillation, 3. reduce the attractiveness of the outcome approached, 4. lead to a return in the opposite direction.",12,train,resolve the conflict in thar direction,result in prolonged oscillation,reduce the attractiveness of the outcome approached,lead to a return in the opposite direction,1
"In the context of research design, external validity refers to the researcher’s ability to:",professional_psychology,"In the context of research design, external validity refers to the researcher’s ability to: Options: 1. manipulate the independent variable, 2. randomly assign participants to treatment groups, 3. determine whether there is a causal relationship between variables, 4. generalize the results of the study to other individuals, settings, and conditions.",18,test,manipulate the independent variable,randomly assign participants to treatment groups,determine whether there is a causal relationship between variables,"generalize the results of the study to other individuals, settings, and conditions",4
"For most children, stranger anxiety begins at about _____ months of age.",professional_psychology,"For most children, stranger anxiety begins at about _____ months of age. Options: 1. 2 to 3, 2. 4 to 6, 3. 8 to 10, 4. 12 to 14.",27,train,2 to 3,4 to 6,8 to 10,12 to 14,3
What is the structure of the United Nations Security Council?,us_foreign_policy,"What is the structure of the United Nations Security Council? Options: 1. 5 permanent members with veto power, 10 rotating members with no veto power, 2. 5 permanent members and 10 rotating members, all with veto power, 3. 10 permanent members with veto power, and 5 rotating members without veto power, 4. 15 permanent members with veto power.",1809,train,"5 permanent members with veto power, 10 rotating members with no veto power","5 permanent members and 10 rotating members, all with veto power","10 permanent members with veto power, and 5 rotating members without veto power",15 permanent members with veto power,1
What was the significance of the Gulf of Tonkin resolution?,us_foreign_policy,"What was the significance of the Gulf of Tonkin resolution? Options: 1. It allowed the US to intensify its involvement in Vietnam, 2. It illustrated the influence of public opinion on US foreign policy, 3. It enhanced Congressional control over the Vietnam War, 4. It curtailed US involvement in Vietnam.",1884,train,It allowed the US to intensify its involvement in Vietnam,It illustrated the influence of public opinion on US foreign policy,It enhanced Congressional control over the Vietnam War,It curtailed US involvement in Vietnam,1
Which is not a nonstate actor that poses a threat to the United States?,us_foreign_policy,"Which is not a nonstate actor that poses a threat to the United States? Options: 1. Terrorists, 2. Organized crime, 3. Drug traffickers, 4. China.",1887,test,Terrorists,Organized crime,Drug traffickers,China,4
Who was the first American president to visit communist China?,us_foreign_policy,"Who was the first American president to visit communist China? Options: 1. Richard Nixon, 2. George H. W. Bush, 3. Jimmy Carter, 4. Ronald Reagan.",1851,train,Richard Nixon,George H. W. Bush,Jimmy Carter,Ronald Reagan,1
The Strategic Arms Reduction Treaty was the first accord,us_foreign_policy,"The Strategic Arms Reduction Treaty was the first accord Options: 1. on nuclear weapons signed between the United States and the Soviet Union, 2. cutting conventional arms in Europe, 3. to be rejected by the U.S. Senate, 4. mandating the elimination of many long-range nuclear missiles.",1815,train,on nuclear weapons signed between the United States and the Soviet Union,cutting conventional arms in Europe,to be rejected by the U.S. Senate,mandating the elimination of many long-range nuclear missiles,4
What were the implications of the Cold War for American exceptionalism?,us_foreign_policy,"What were the implications of the Cold War for American exceptionalism? Options: 1. It ended the influence of American exceptionalism entirely, 2. Exceptionalism was enhanced by America's status as the 'leader of the free world', 3. The extension of American power globally challenged core assumptions of exceptionalism, 4. Both b and c.",1835,train,It ended the influence of American exceptionalism entirely,Exceptionalism was enhanced by America's status as the 'leader of the free world',The extension of American power globally challenged core assumptions of exceptionalism,Both b and c,4
Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s?,us_foreign_policy,"Why did Franklin D. Roosevelt initially favour an 'isolationist' stance on the part of the US during the 1930s? Options: 1. He believed that internal reform rather than international negotiation was the key to economic regeneration of the US, 2. He believed that German domination of Europe would be in US interests, 3. He always favoured isolationism, 4. All of the above.",1856,test,He believed that internal reform rather than international negotiation was the key to economic regeneration of the US,He believed that German domination of Europe would be in US interests,He always favoured isolationism,All of the above,1
What was the 'New Populism'?,us_foreign_policy,"What was the 'New Populism'? Options: 1. A strand of neo-isolationist sentiment, 2. A strand of internationalist sentiment, 3. An expression of American cultural superiority, 4. Increased incorporation of public opinion in foreign policy making.",1842,train,A strand of neo-isolationist sentiment,A strand of internationalist sentiment,An expression of American cultural superiority,Increased incorporation of public opinion in foreign policy making,1
How did World War I shift economic power from Europe to the United States?,us_foreign_policy,"How did World War I shift economic power from Europe to the United States? Options: 1. The war reduced European population levels below that of the United States, 2. The United States seized German resources after the war, 3. European countries paid the United States for assistance, 4. The United States became a creditor country and financial centre, with European war spending boosting the US economy.",1854,test,The war reduced European population levels below that of the United States,The United States seized German resources after the war,European countries paid the United States for assistance,"The United States became a creditor country and financial centre, with European war spending boosting the US economy",4
"In American government, the power to declare war rests with",us_foreign_policy,"In American government, the power to declare war rests with Options: 1. the president of the United States, 2. the secretary of defense, 3. the chairman of the Joint Chiefs of Staff, 4. Congress.",1828,train,the president of the United States,the secretary of defense,the chairman of the Joint Chiefs of Staff,Congress,4
How did the Cold War context shape US perceptions of the Third World?,us_foreign_policy,"How did the Cold War context shape US perceptions of the Third World? Options: 1. The US ignored the Third World, 2. Local developments were viewed through a geopolitical lens, 3. The US unreservedly supported decolonization, 4. None of the above.",1808,val,The US ignored the Third World,Local developments were viewed through a geopolitical lens,The US unreservedly supported decolonization,None of the above,2
What was unique about the NATO intervention in Kosovo?,us_foreign_policy,"What was unique about the NATO intervention in Kosovo? Options: 1. It was the first time the US became involved in the Balkans, 2. It was the first time NATO used military force, 3. It was the first war won by airpower alone, 4. It was the first war to employ 'smart weapons'.",1830,test,It was the first time the US became involved in the Balkans,It was the first time NATO used military force,It was the first war won by airpower alone,It was the first war to employ 'smart weapons',3
"What, according to Systemic theories, is the primary determinant of a state's foreign policy?",us_foreign_policy,"What, according to Systemic theories, is the primary determinant of a state's foreign policy? Options: 1. The character of a state's leader, 2. The distribution of power in the international system, 3. The distribution of power within a state's governmental system, 4. A state's political ideology.",1818,test,The character of a state's leader,The distribution of power in the international system,The distribution of power within a state's governmental system,A state's political ideology,2
Why is there so much uncertainty over which states have nuclear weapons?,us_foreign_policy,"Why is there so much uncertainty over which states have nuclear weapons? Options: 1. Leaders have incentives to lie, 2. If leaders revealed their programs, they would be more likely to be attacked, 3. Leaders will not always grant foreign monitors access to their nuclear programs, 4. ALL of the above.",1849,train,Leaders have incentives to lie,"If leaders revealed their programs, they would be more likely to be attacked",Leaders will not always grant foreign monitors access to their nuclear programs,ALL of the above,4
"Within American politics, the power to accord official recognition to other countries belongs to",us_foreign_policy,"Within American politics, the power to accord official recognition to other countries belongs to Options: 1. the Senate, 2. the president, 3. the Secretary of State, 4. the chairman of the Joint Chiefs.",1897,train,the Senate,the president,the Secretary of State,the chairman of the Joint Chiefs,2
What did the Moscow Treaty on Strategic Offensive Reductions do?,us_foreign_policy,"What did the Moscow Treaty on Strategic Offensive Reductions do? Options: 1. Required the United States and Russia to demobilize their armies, 2. Required the United States and Russia to dismantle a significant number of their nuclear weapons, 3. Prohibited the acquisition of new military bases, 4. Prohibited short-range nuclear weapons.",1825,train,Required the United States and Russia to demobilize their armies,Required the United States and Russia to dismantle a significant number of their nuclear weapons,Prohibited the acquisition of new military bases,Prohibited short-range nuclear weapons,2
What were the 'open-door notes'?,us_foreign_policy,"What were the 'open-door notes'? Options: 1. An American declaration that the US was always open to Chinese immigration, 2. An American proclamation that China should be divided up between the US, Japan and the European empires, 3. An American proclamation that China should be open to US trade and missionaries, 4. An American declaration of support for Chinese economic protectionism.",1839,train,An American declaration that the US was always open to Chinese immigration,"An American proclamation that China should be divided up between the US, Japan and the European empires",An American proclamation that China should be open to US trade and missionaries,An American declaration of support for Chinese economic protectionism,3
"International trade will almost always benefit both countries, so why do countries try to protect their own firms from exposure to the world market?",us_foreign_policy,"International trade will almost always benefit both countries, so why do countries try to protect their own firms from exposure to the world market? Options: 1. Irrationality on the part of the leadership, 2. Costs of free trade are concentrated, but benefits are dispersed, 3. Regime type, 4. International conflict prevents trade.",1852,train,Irrationality on the part of the leadership,"Costs of free trade are concentrated, but benefits are dispersed",Regime type,International conflict prevents trade,2
Why did George H.W. Bush allow Saddam Hussein to remain in power after the Gulf War of 1991?,us_foreign_policy,"Why did George H.W. Bush allow Saddam Hussein to remain in power after the Gulf War of 1991? Options: 1. Lack of US firepower, 2. Concern over oil supplies, 3. Limited UN mandate and fear of a protracted conflict, 4. Difficult terrain and fear of civilian casualties.",1810,test,Lack of US firepower,Concern over oil supplies,Limited UN mandate and fear of a protracted conflict,Difficult terrain and fear of civilian casualties,3
Why do Liberal Internationalists argue that international institutions are important to US grand strategy?,us_foreign_policy,"Why do Liberal Internationalists argue that international institutions are important to US grand strategy? Options: 1. They allow the US to withdraw from the international arena, 2. They serve American interests, 3. The US is incapable of acting alone, 4. None of the above.",1845,train,They allow the US to withdraw from the international arena,They serve American interests,The US is incapable of acting alone,None of the above,2
What was the significance of the Truman Doctrine?,us_foreign_policy,"What was the significance of the Truman Doctrine? Options: 1. It indicated the special place of Greece and Turkey in American interests, 2. It was Truman's first statement on European affairs, 3. It indicated US reluctance to get involved in incidents outside of its immediate sphere of influence, 4. It indicated that the US would now view all local revolts through a geopolitical lens.",1894,train,It indicated the special place of Greece and Turkey in American interests,It was Truman's first statement on European affairs,It indicated US reluctance to get involved in incidents outside of its immediate sphere of influence,It indicated that the US would now view all local revolts through a geopolitical lens,4
What tend to be the effects of oil and other natural resource trade on developing states?,us_foreign_policy,"What tend to be the effects of oil and other natural resource trade on developing states? Options: 1. It democratizes countries, 2. It has no real effect, 3. It encourages stability of the regime, 4. It changes the nature of the investor.",1886,val,It democratizes countries,It has no real effect,It encourages stability of the regime,It changes the nature of the investor,3
The dominant course for foreign policy throughout most of American history can be categorized as,us_foreign_policy,"The dominant course for foreign policy throughout most of American history can be categorized as Options: 1. containment, 2. neoconservatism, 3. isolationism, 4. protectionism.",1806,test,containment,neoconservatism,isolationism,protectionism,3
What led Britain to impose new taxes on their American colonies?,us_foreign_policy,"What led Britain to impose new taxes on their American colonies? Options: 1. To increase the wealth of King George III, 2. The growing costs of war with France, 3. Anger at America's growing prosperity, 4. Pressure from rich merchants.",1888,train,To increase the wealth of King George III,The growing costs of war with France,Anger at America's growing prosperity,Pressure from rich merchants,2
"Who said ""Globalization is not something we can hold off or turn off. It is the economic equivalent of a force of nature-like wind or water""?",us_foreign_policy,"Who said ""Globalization is not something we can hold off or turn off. It is the economic equivalent of a force of nature-like wind or water""? Options: 1. Ronald Reagan, 2. George Soros, 3. Bill Clinton, 4. George W. Bush.",1850,test,Ronald Reagan,George Soros,Bill Clinton,George W. Bush,3
"The idea that war is ""the continuation of politics by other means"" helps to capture",us_foreign_policy,"The idea that war is ""the continuation of politics by other means"" helps to capture Options: 1. diplomacy is the quietest instrument of influence in global politics, 2. the way political parties fight with each other, 3. the idea that governments use their military to help pursue policy goals, 4. the way Democrats and Republicans differ over the war in Iraq.",1847,train,diplomacy is the quietest instrument of influence in global politics,the way political parties fight with each other,the idea that governments use their military to help pursue policy goals,the way Democrats and Republicans differ over the war in Iraq,3
What are the key elements of the Liberal approach to US foreign policy?,us_foreign_policy,"What are the key elements of the Liberal approach to US foreign policy? Options: 1. Promotion of Democracy, free-trade and international institutions, 2. Alliances, diplomacy and protectionism, 3. The balance of power, self-sufficiency and prudence, 4. None of the above.",1822,train,"Promotion of Democracy, free-trade and international institutions","Alliances, diplomacy and protectionism","The balance of power, self-sufficiency and prudence",None of the above,1
What was the key difference between US expansion pre- and post- 1865?,us_foreign_policy,"What was the key difference between US expansion pre- and post- 1865? Options: 1. US expansion was based on territory rather than markets post-1865, 2. US expansion was based on markets rather than territory post-1865, 3. US expansion was limited to Latin America post-1865, 4. US expansion ended after 1865.",1844,train,US expansion was based on territory rather than markets post-1865,US expansion was based on markets rather than territory post-1865,US expansion was limited to Latin America post-1865,US expansion ended after 1865,2
What case did President Eisenhower make against the 'military-industrial complex' in his farewell speech?,us_foreign_policy,"What case did President Eisenhower make against the 'military-industrial complex' in his farewell speech? Options: 1. That the capitalist search for profits was the leading cause of armed conflict, 2. That the United States no longer needed to be militarily strong, 3. That military spending gave the arms industry unwarranted influence on politics and government, 4. That private companies would undermine the role of the Armed Forces.",1833,test,That the capitalist search for profits was the leading cause of armed conflict,That the United States no longer needed to be militarily strong,That military spending gave the arms industry unwarranted influence on politics and government,That private companies would undermine the role of the Armed Forces,3
"Within the United Nations, real power is located in",us_foreign_policy,"Within the United Nations, real power is located in Options: 1. the Security Council, 2. the Chamber of Deputies, 3. the Council of Ministers, 4. the Secretariat.",1883,train,the Security Council,the Chamber of Deputies,the Council of Ministers,the Secretariat,1
"In general, how do conservatives and liberals differ when it comes to defense spending?",us_foreign_policy,"In general, how do conservatives and liberals differ when it comes to defense spending? Options: 1. Conservatives are skeptical of increases in defense spending; liberals advocate increases in defense spending, 2. Conservatives favor social spending over defense spending; liberals favor defense spending over social spending, 3. Conservatives advocate increases in defense spending; liberals are generally skeptical of increases in defense spending, 4. Conservatives emphasize strong economies; liberals emphasize strong military readiness.",1811,train,Conservatives are skeptical of increases in defense spending; liberals advocate increases in defense spending,Conservatives favor social spending over defense spending; liberals favor defense spending over social spending,Conservatives advocate increases in defense spending; liberals are generally skeptical of increases in defense spending,Conservatives emphasize strong economies; liberals emphasize strong military readiness,3
Intergovernmental organizations SELDOM do which of the following?,us_foreign_policy,"Intergovernmental organizations SELDOM do which of the following? Options: 1. Provide strong enforcement, 2. Monitor parties, 3. Provide fora for discussion, 4. Reduce transaction costs for agreements.",1819,test,Provide strong enforcement,Monitor parties,Provide fora for discussion,Reduce transaction costs for agreements,1
Which of the following are possible constraints on US foreign policy decision making?,us_foreign_policy,"Which of the following are possible constraints on US foreign policy decision making? Options: 1. Foreign policies of other states, 2. International law, 3. Intergovernmental organizations, 4. All of the above.",1863,val,Foreign policies of other states,International law,Intergovernmental organizations,All of the above,4
Which of the following are possible constraints on US foreign policy decision making?,us_foreign_policy,"Which of the following are possible constraints on US foreign policy decision making? Options: 1. Foreign policies of other states, 2. International law, 3. Intergovernmental organizations, 4. All of the above.",1877,val,Foreign policies of other states,International law,Intergovernmental organizations,All of the above,4
What is direct diplomacy?,us_foreign_policy,"What is direct diplomacy? Options: 1. Members of Congress negotiating directly with foreign governments, 2. Face-to-face meetings between state leaders, 3. The president consulting Congress on foreign policy issues, 4. Bilateral talks that do not involve a third-party negotiator.",1813,train,Members of Congress negotiating directly with foreign governments,Face-to-face meetings between state leaders,The president consulting Congress on foreign policy issues,Bilateral talks that do not involve a third-party negotiator,1
What was the Clinton Administration's policy on the Russian economy?,us_foreign_policy,"What was the Clinton Administration's policy on the Russian economy? Options: 1. The US inhibited the marketization of the Russian economy, 2. The US promoted the marketization of the Russian economy, 3. The US supported public ownership of natural resources, 4. None, the US was only concerned with security issues.",1841,val,The US inhibited the marketization of the Russian economy,The US promoted the marketization of the Russian economy,The US supported public ownership of natural resources,"None, the US was only concerned with security issues",2
How many major powers are there in a multipolar system?,us_foreign_policy,"How many major powers are there in a multipolar system? Options: 1. 0, 2. 1, 3. 2, 4. 3 or more.",1838,train,0,1,2,3 or more,4
Why did Americans believe that they could found a different kind of empire after 1776?,us_foreign_policy,"Why did Americans believe that they could found a different kind of empire after 1776? Options: 1. This would be an 'empire of liberty', 2. This empire would be multi-cultural, 3. This type of empire would be based on expansion, 4. This would be empire free of slavery.",1858,val,This would be an 'empire of liberty',This empire would be multi-cultural,This type of empire would be based on expansion,This would be empire free of slavery,1
The trade-off between defense and social spending is often referred to as a choice between,us_foreign_policy,"The trade-off between defense and social spending is often referred to as a choice between Options: 1. bread and butter, 2. war and peace, 3. guns and butter, 4. bombs and books.",1882,train,bread and butter,war and peace,guns and butter,bombs and books,3
What did Charles Krauthammer mean by a 'unipolar moment' when describing the post-Cold War system?,us_foreign_policy,"What did Charles Krauthammer mean by a 'unipolar moment' when describing the post-Cold War system? Options: 1. The chance for the United States to share power with other countries in the world, 2. An opportunity to use to collapse of the Soviet Union to extend US power, 3. An international system that didn't face any threats, 4. The never-ending domination of the United States.",1853,val,The chance for the United States to share power with other countries in the world,An opportunity to use to collapse of the Soviet Union to extend US power,An international system that didn't face any threats,The never-ending domination of the United States,2
"Which of the following considers it immoral to use force abroad to do good things (such human rights protection, democracy, etc)?",us_foreign_policy,"Which of the following considers it immoral to use force abroad to do good things (such human rights protection, democracy, etc)? Options: 1. Realism, 2. Idealism, 3. Liberalism, 4. None of the above.",1805,train,Realism,Idealism,Liberalism,None of the above,1
"According to realists, what is the fundamental difference between the international system and the domestic system?",us_foreign_policy,"According to realists, what is the fundamental difference between the international system and the domestic system? Options: 1. Armed conflict, 2. Anarchy, 3. Institutions, 4. No common language.",1826,test,Armed conflict,Anarchy,Institutions,No common language,2
